Messung,Latenz_tz, Latenz_ns
1200, 85, 28.33
1201, 83, 27.67
1202, 81, 27.00
1203, 86, 28.67
1204, 86, 28.67
1205, 86, 28.67
1206, 86, 28.67
1207, 86, 28.67
1208, 82, 27.33
1209, 82, 27.33
1210, 82, 27.33
1211, 86, 28.67
1212, 81, 27.00
1213, 81, 27.00
1214, 87, 29.00
1215, 89, 29.67
1216, 87, 29.00
1217, 83, 27.67
1218, 83, 27.67
1219, 83, 27.67
1220, 83, 27.67
1221, 85, 28.33
1222, 87, 29.00
1223, 85, 28.33
1224, 87, 29.00
1225, 83, 27.67
1226, 85, 28.33
1227, 83, 27.67
1228, 81, 27.00
1229, 86, 28.67
1230, 86, 28.67
1231, 86, 28.67
1232, 86, 28.67
1233, 84, 28.00
1234, 82, 27.33
1235, 82, 27.33
1236, 82, 27.33
1237, 83, 27.67
1238, 85, 28.33
1239, 85, 28.33
1240, 83, 27.67
1241, 81, 27.00
1242, 83, 27.67
1243, 81, 27.00
1244, 83, 27.67
1245, 85, 28.33
1246, 85, 28.33
1247, 85, 28.33
1248, 81, 27.00
1249, 81, 27.00
1250, 81, 27.00
1251, 83, 27.67
1252, 85, 28.33
1253, 83, 27.67
1254, 82, 27.33
1255, 86, 28.67
1256, 86, 28.67
1257, 86, 28.67
1258, 84, 28.00
1259, 82, 27.33
1260, 82, 27.33
1261, 82, 27.33
1262, 85, 28.33
1263, 85, 28.33
1264, 85, 28.33
1265, 87, 29.00
1266, 89, 29.67
1267, 87, 29.00
1268, 87, 29.00
1269, 81, 27.00
1270, 83, 27.67
1271, 85, 28.33
1272, 83, 27.67
1273, 81, 27.00
1274, 87, 29.00
1275, 87, 29.00
1276, 85, 28.33
1277, 83, 27.67
1278, 81, 27.00
1279, 88, 29.33
1280, 84, 28.00
1281, 84, 28.00
1282, 82, 27.33
1283, 84, 28.00
1284, 80, 26.67
1285, 84, 28.00
1286, 86, 28.67
1287, 81, 27.00
1288, 81, 27.00
1289, 79, 26.33
1290, 81, 27.00
1291, 87, 29.00
1292, 87, 29.00
1293, 85, 28.33
1294, 83, 27.67
1295, 83, 27.67
1296, 81, 27.00
1297, 83, 27.67
1298, 85, 28.33
1299, 83, 27.67
1300, 83, 27.67
1301, 85, 28.33
1302, 83, 27.67
1303, 84, 28.00
1304, 82, 27.33
1305, 86, 28.67
1306, 86, 28.67
1307, 84, 28.00
1308, 82, 27.33
1309, 84, 28.00
1310, 84, 28.00
1311, 86, 28.67
1312, 81, 27.00
1313, 81, 27.00
1314, 87, 29.00
1315, 83, 27.67
1316, 83, 27.67
1317, 81, 27.00
1318, 83, 27.67
1319, 85, 28.33
1320, 85, 28.33
1321, 83, 27.67
1322, 81, 27.00
1323, 81, 27.00
1324, 87, 29.00
1325, 87, 29.00
1326, 83, 27.67
1327, 81, 27.00
1328, 86, 28.67
1329, 86, 28.67
1330, 84, 28.00
1331, 78, 26.00
1332, 82, 27.33
1333, 82, 27.33
1334, 82, 27.33
1335, 85, 28.33
1336, 81, 27.00
1337, 79, 26.33
1338, 89, 29.67
1339, 87, 29.00
1340, 83, 27.67
1341, 83, 27.67
1342, 83, 27.67
1343, 83, 27.67
1344, 85, 28.33
1345, 81, 27.00
1346, 81, 27.00
1347, 81, 27.00
1348, 83, 27.67
1349, 85, 28.33
